time_s,knee_angle_deg
1.360525,72.4320
1.361742,72.5535
1.364579,74.9113
1.369970,76.3289
1.371171,76.3859
1.374751,77.7907
1.377942,78.4858
1.380830,78.5425
1.383641,79.9339
1.386574,79.9951
1.390443,81.4573
1.393075,82.1456
1.395704,82.8367
1.398284,82.8893
1.401841,84.2519
1.405079,84.9226
1.408063,85.5805
1.410780,86.2990
1.413054,86.3325
1.415711,88.0090
1.419237,88.0363
1.421952,88.6832
1.424833,89.3372
1.427686,89.9928
1.431759,90.8965
1.434728,91.5520
1.437239,92.1984
1.440698,92.9143
1.449690,94.2305
1.454012,94.9549
1.460783,95.6287
1.462897,96.7676
1.464424,97.9282
1.467866,98.5316
1.471453,99.1727
1.473692,99.7238
1.477308,100.2552
1.480986,100.8536
1.483790,101.3700
1.485772,101.8511
1.489623,102.4174
1.493972,102.9330
1.497960,103.9837
1.502226,104.5739
1.503403,105.0962
1.507270,105.6553
1.511474,106.2585
1.512639,106.8046
1.515383,107.4340
1.518790,108.0567
1.521524,108.6198
1.524258,109.2031
1.528202,109.7758
1.532978,110.4237
1.536971,111.3474
1.539622,111.8725
1.540840,111.8957
1.543614,112.2882
1.546286,112.6253
1.549728,113.0214
1.553415,113.6239
1.555844,113.6083
1.563578,114.4953
1.564591,114.4921
1.568949,115.1341
1.570169,115.1503
1.572927,115.4368
1.578257,115.9924
1.579917,116.2337
1.582286,116.2638
1.586350,116.4681
1.589053,116.6772
1.591568,116.8797
1.595427,117.0229
1.598127,117.2676
1.600974,117.3911
1.603124,117.4005
1.606559,117.6215
1.611462,117.7442
1.612696,117.8460
1.614800,117.8455
1.617457,117.9179
1.622157,117.9730
1.625111,117.9786
1.629983,117.9551
1.634226,117.8944
1.635479,117.9234
1.639434,117.9252
1.645117,117.8565
1.646055,117.8765
1.647237,117.8253
1.652566,117.7523
1.653756,117.6578
1.658385,117.5624
1.667766,117.1227
1.669023,117.1034
1.671441,116.9574
1.674281,116.7820
1.679101,116.4657
1.680307,116.4307
1.684087,116.2548
1.686640,116.0750
1.688881,115.8639
1.694978,115.4670
1.698674,115.1946
1.701555,114.9572
1.704120,114.7210
1.708253,114.4886
1.711290,114.2425
1.712489,114.0042
1.716390,113.7598
1.720031,113.4949
1.722369,113.2624
1.726577,113.0410
1.728709,112.8020
1.731511,112.5766
1.735331,112.3860
1.737794,112.1673
1.740552,111.9726
1.743876,111.7810
1.746997,111.5882
1.751029,111.1861
1.752254,111.1694
1.756080,110.9619
1.758701,110.7170
